자치구,기준년월,대여건수,반납건수
강남구,202407,124889,119225
강남구,202408,123417,117629
강남구,202409,135251,129131
강남구,202410,149960,143915
강남구,202411,111906,107901
강남구,202412,66295,64845
강동구,202407,162425,163831
강동구,202408,171985,173680
강동구,202409,181505,183165
강동구,202410,200312,202220
강동구,202411,153380,154238
강동구,202412,95842,95721
강북구,202407,48165,47721
강북구,202408,53974,53053
강북구,202409,56390,55586
강북구,202410,60805,59933
강북구,202411,45067,44245
강북구,202412,30098,29733
강서구,202407,466514,465890
강서구,202408,508323,507372
강서구,202409,507423,506973
강서구,202410,572024,569968
강서구,202411,441450,439781
강서구,202412,306920,305496
관악구,202407,80717,80123
관악구,202408,91212,90380
관악구,202409,92164,91118
관악구,202410,99439,98576
관악구,202411,69661,68893
관악구,202412,44102,43766
광진구,202407,177057,175106
광진구,202408,187451,186187
광진구,202409,205363,204262
광진구,202410,221385,219917
광진구,202411,165615,163810
광진구,202412,105856,104079
구로구,202407,154377,153598
구로구,202408,166183,165881
구로구,202409,176904,176434
구로구,202410,197207,196827
구로구,202411,148682,147827
구로구,202412,101018,99797
금천구,202407,68840,68629
금천구,202408,73390,73027
금천구,202409,73683,73310
금천구,202410,84612,83947
금천구,202411,64476,64566
금천구,202412,44118,44223
노원구,202407,232829,232915
노원구,202408,251014,251062
노원구,202409,261439,261600
노원구,202410,280026,279891
노원구,202411,215072,214776
노원구,202412,145242,144712
도봉구,202407,83442,83549
도봉구,202408,90731,90809
도봉구,202409,95387,95474
도봉구,202410,99635,100015
도봉구,202411,75157,75082
도봉구,202412,47262,47019
동대문구,202407,118631,122884
동대문구,202408,130187,134857
동대문구,202409,145488,148890
동대문구,202410,157174,159866
동대문구,202411,116688,119059
동대문구,202412,77468,78758
동작구,202407,66267,66732
동작구,202408,73414,73951
동작구,202409,80251,80293
동작구,202410,86910,86905
동작구,202411,59601,59365
동작구,202412,37228,36428
마포구,202407,168423,168957
마포구,202408,185378,184130
마포구,202409,213944,212323
마포구,202410,237573,237575
마포구,202411,160179,161781
마포구,202412,96907,99036
서대문구,202407,68356,65787
서대문구,202408,72235,70338
서대문구,202409,81095,78445
서대문구,202410,86367,83501
서대문구,202411,62889,60250
서대문구,202412,40497,37946
서초구,202407,110822,109496
서초구,202408,117275,116102
서초구,202409,131887,131386
서초구,202410,143640,143075
서초구,202411,99959,99402
서초구,202412,59427,58856
성동구,202407,143341,143505
성동구,202408,147681,147117
성동구,202409,166041,164764
성동구,202410,188026,187572
성동구,202411,135130,135287
성동구,202412,84548,85566
성북구,202407,79299,79822
성북구,202408,84877,85660
성북구,202409,95379,95705
성북구,202410,98987,99254
성북구,202411,73600,73943
성북구,202412,47123,46911
송파구,202407,341132,341016
송파구,202408,345232,345204
송파구,202409,371937,372757
송파구,202410,417545,417712
송파구,202411,312722,312581
송파구,202412,191825,191713
양천구,202407,229294,230926
양천구,202408,256015,257017
양천구,202409,260460,262072
양천구,202410,292118,294176
양천구,202411,221934,222974
양천구,202412,149338,149599
영등포구,202407,323785,320074
영등포구,202408,360730,357322
영등포구,202409,378060,374881
영등포구,202410,428061,424392
영등포구,202411,321571,317775
영등포구,202412,222303,220990
용산구,202407,67237,66908
용산구,202408,74959,74309
용산구,202409,87701,87735
용산구,202410,96182,96198
용산구,202411,63103,63275
용산구,202412,36157,35892
은평구,202407,89950,92129
은평구,202408,98748,101306
은평구,202409,106011,108816
은평구,202410,111922,114023
은평구,202411,81649,82744
은평구,202412,51321,51536
종로구,202407,123542,118327
종로구,202408,127910,122789
종로구,202409,132246,126270
종로구,202410,142642,136927
종로구,202411,116667,112890
종로구,202412,76899,75386
중구,202407,89735,85444
중구,202408,93282,88408
중구,202409,94459,89832
중구,202410,102065,97861
중구,202411,83197,80063
중구,202412,55722,54741
중랑구,202407,104164,104824
중랑구,202408,112731,113689
중랑구,202409,120298,121580
중랑구,202410,132140,133384
중랑구,202411,99842,100217
중랑구,202412,64579,64471
