자치구,기준년월,대여건수,반납건수
강남구,202301,45701,43978
강남구,202302,69050,66220
강남구,202303,118124,112377
강남구,202304,134028,120936
강남구,202305,158152,149110
강남구,202306,148579,141246
강동구,202301,67421,67866
강동구,202302,97236,98108
강동구,202303,165939,168514
강동구,202304,177915,173194
강동구,202305,209010,212592
강동구,202306,216373,218935
강북구,202301,23731,23605
강북구,202302,35716,35356
강북구,202303,61826,60996
강북구,202304,64254,60718
강북구,202305,75100,74322
강북구,202306,74649,73673
강서구,202301,199292,198347
강서구,202302,259264,258639
강서구,202303,415514,415051
강서구,202304,429349,414857
강서구,202305,556153,556300
강서구,202306,566170,565536
관악구,202301,40488,39576
관악구,202302,55675,54802
관악구,202303,92271,90848
관악구,202304,101770,95562
관악구,202305,124680,123743
관악구,202306,126110,125352
광진구,202301,72160,70682
광진구,202302,104386,102730
광진구,202303,198583,196663
광진구,202304,203428,192368
광진구,202305,242163,239909
광진구,202306,232465,229915
구로구,202301,62254,61894
구로구,202302,86871,86847
구로구,202303,150880,150984
구로구,202304,162204,155702
구로구,202305,196213,196773
구로구,202306,202502,201959
금천구,202301,28941,29047
금천구,202302,39646,39501
금천구,202303,64623,64113
금천구,202304,67435,64317
금천구,202305,85391,84892
금천구,202306,89585,88897
노원구,202301,89191,88939
노원구,202302,132046,131428
노원구,202303,234956,234420
노원구,202304,248641,238166
노원구,202305,307102,307435
노원구,202306,294714,294452
도봉구,202301,30441,30526
도봉구,202302,45932,46322
도봉구,202303,79453,80181
도봉구,202304,86424,83529
도봉구,202305,103971,105240
도봉구,202306,104720,106074
동대문구,202301,54909,56058
동대문구,202302,79114,81020
동대문구,202303,142527,145202
동대문구,202304,143867,142244
동대문구,202305,179224,183240
동대문구,202306,171668,176225
동작구,202301,30536,31210
동작구,202302,43787,44666
동작구,202303,79771,80445
동작구,202304,85121,82194
동작구,202305,104245,104523
동작구,202306,103166,103790
마포구,202301,73979,76103
마포구,202302,106605,109308
마포구,202303,202678,204750
마포구,202304,209009,201342
마포구,202305,249518,250328
마포구,202306,235959,236181
서대문구,202301,31629,29564
서대문구,202302,45707,42757
서대문구,202303,82378,78158
서대문구,202304,82393,75715
서대문구,202305,98761,95078
서대문구,202306,94180,91140
서초구,202301,44201,43847
서초구,202302,65663,64886
서초구,202303,111942,110720
서초구,202304,126749,120548
서초구,202305,152712,151541
서초구,202306,144939,143356
성동구,202301,61224,61990
성동구,202302,89663,90282
성동구,202303,163256,162711
성동구,202304,168227,160070
성동구,202305,197006,195922
성동구,202306,185011,184276
성북구,202301,34700,34835
성북구,202302,52165,52401
성북구,202303,98213,98514
성북구,202304,101256,97788
성북구,202305,124028,124820
성북구,202306,119183,120236
송파구,202301,141523,141324
송파구,202302,207947,207959
송파구,202303,378989,378431
송파구,202304,395976,377067
송파구,202305,454774,455327
송파구,202306,440150,440975
양천구,202301,101331,102089
양천구,202302,134064,134885
양천구,202303,211210,212304
양천구,202304,221047,213584
양천구,202305,270476,272507
양천구,202306,283613,285297
영등포구,202301,129692,127889
영등포구,202302,180899,178293
영등포구,202303,314494,311127
영등포구,202304,330534,310614
영등포구,202305,400554,394221
영등포구,202306,400656,395554
용산구,202301,27554,27559
용산구,202302,41594,41550
용산구,202303,79212,78742
용산구,202304,87634,82775
용산구,202305,107039,106025
용산구,202306,102509,101605
은평구,202301,40348,40645
은평구,202302,56461,56893
은평구,202303,97676,99155
은평구,202304,102882,99865
은평구,202305,121705,124966
은평구,202306,121390,124537
종로구,202301,58242,56632
종로구,202302,82822,80342
종로구,202303,136506,130164
종로구,202304,139873,128673
종로구,202305,169369,160464
종로구,202306,159167,151018
중구,202301,39497,38067
중구,202302,57613,55400
중구,202303,93760,88877
중구,202304,95113,86987
중구,202305,117495,110586
중구,202306,111808,105401
중랑구,202301,42461,42609
중랑구,202302,61579,62077
중랑구,202303,110754,113386
중랑구,202304,116967,114610
중랑구,202305,148053,151301
중랑구,202306,145067,148004
